UR	at.ka.ʔi.tsa.tɡeo	Stress	Ident(high)	Ident(spread_gl)	Ident(long)	Ident(low)	Ident(front)	Ident(back)	Nocoda	Onset	Agree(LABIAL)	*Complex Coda	Align-R	Dep	Align-L	Max	Ident(voice)	*[+consonantal, -voice]	*[+consonantal, +CORONAL]	Agree(front)	*CC	*Complex Onset
	ɡ̠̠͡ɣ̠a.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	3	1	2	2
	at.a.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	2	0	0	0	0	0	1	0	5	4	1	2	2
	at.ka.ʔiə.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	6	4	2	3	2
	ka.ka.ʔi.k+sa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	2	1	2	2
	at.ka.ʔi.tsa.tɡe	na	0	0	0	0	0	0	1!	1	0	0	1	0	0	1	0	6	4	0	3	2
	at.ka.ʔəi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	6	4	2	3	2
	at.ka.k+i.tsa.tɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ca.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	4!	1	2	2
	ka.ka.ʔi.tsa.dɡeoː	na	0	0	1!	0	0	0	0	0	0	0	1	1	1	1	1	5	3	1	2	2
	at.kəa.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡeuː	na	1!	0	1	0	0	0	0	0	0	0	1	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	2!	1	5	3	0	2	2
	ka.ka.ʔi.tsa.dd͡ʑeo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	4	1	2	2
	ka.əka.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	1	0	0	0	1	1	0	2	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡæo	na	0	0	0	1!	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsæ.tɡeo	na	0	0	0	0	1!	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tx̠a.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	2	1	2	2
	kʰa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	x+a.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔj.tsa.dɡeo	na	0	0	0	0	0	0	1!	0	0	1	0	1	1	1	1	5	3	1	4	3
	k.ka.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	1	0	0	0	0	0	1	1	2	5	3	1	3	2
	at.q͡χa.ʔi.tsa.tɡeo	na	1!	0	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɢʰeo	na	1!	1	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tzʰa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	1	5	4	1	3	2
	at.ka.ʔi.ta.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	1	0	5	3	1	2	1
	at.ka.ʔi.ʔsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	3	1	3	2
	at͡ɬ.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.k͡xʰa.ʔi.tsa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	k̠͡x̠a.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsɤ.tɡeo	na	0	0	0	1!	0	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡɤo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	3	0	2	2
	g͡ba.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	3	1	2	2
	ka.k͡pʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.dʰsa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	1	5	4	1	3	2
	ka.ka.ʔi.tsɤ.dɡeo	na	0	0	0	1!	0	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔɘ.tsa.dɡeo	na	1!	0	0	0	1	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.pa.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.t͡ssa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsɨ.tɡeo	na	1!	0	0	1	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	kɑ.ka.ʔi.tsa.dɡeo	na	2!	0	0	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	at.ka.ʔi.tʐa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	1	5	4	1	3	2
	at.ka.ʔi.tsəː.tɡeo	na	0	0	1!	1	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ɡ̠ʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	1	1	0	0	0	0	0	1	1	1	2	4	3	1	2	2
	at.t͡ɕa.ʔi.tsa.tɡeo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	0	6	5	1	3	2
	ka.ɡ+ʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	1	1	0	0	0	0	0	1	1	1	2	4	3	1	2	2
	ka.ka.ʔi.tsa.d͡ɮɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ɢa.ʔi.tsa.tɡeo	na	1!	0	0	0	1	1	1	1	0	0	0	0	0	0	1	5	4	1	3	2
	at.ka.ʔi.tsa.pɡeo	na	0	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	6	3	1	3	2
	ka.ka.ʔi.tsa.ʔdɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	0	6	3	1	3	2
	at.ka.ʔi.tsa.tɡɪo	na	1!	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tx+a.tɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	at.xa.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ta.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	4!	1	2	2
	pa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɡæo	na	0	0	0	1!	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.kɛ.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	ka.ka.pi.tsa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	2	1	2	1	5	3	1	2	2
	ka.kʌ.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	ka.ka.ʔi.tsa.ddeo	na	1!	0	0	1	0	0	0	0	0	0	0	1	1	1	1	5	4	1	2	2
	at.ka.ʔʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	7	4	1	4	3
	at.ka.ʔi.tsa.tɡæːo	na	0	0	1!	1	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tɬa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.xa.ʔi.tsa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔ.tsa.tɡeo	na	0	0	0	0	0	0	2!	1	0	0	0	0	0	1	0	6	4	1	4	2
	ka.ka.ʔi.tsa.dŋ˗eo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.kɑː.ʔi.tsa.tɡeo	na	0	0	1!	0	0	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɉeo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	0	6	5	1	3	2
	ka.ca.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	4	1	2	2
	at.ʔa.ʔi.tsa.tɡeo	na	1!	0	0	1	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.qi.tsa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	2	1	2	1	5	3	1	2	2
	ɡ̠ʰa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	3	1	2	2
	ɑːt.ka.ʔi.tsa.tɡeo	na	0	0	1!	0	0	1	1	1	0	0	0	0	1	0	0	6	4	1	3	2
	kaʔ.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	1!	0	0	0	0	1	1	0	1	6	3	1	3	2
	ka.ka.ʔi.tsa.dŋeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	əat.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	1	0	0	6	4	1	3	2
	ka.cʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	1	1	0	0	0	0	0	1	1	1	1	5	4	1	2	2
	aʔ.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	3	1	3	2
	at.ka.ʔi.tsa.tɡ+ʰeo	na	0	1!	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tt̪͡s̪a.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.ətsa.tɡeo	na	0	0	0	0	0	0	1!	2	0	0	0	1	0	0	0	6	4	2	3	1
	ɡʰa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	3	1	2	2
	ɡ̠a.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	3	1	2	2
	ka.kɨ.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɡeɵ	na	0	0	0	0	0	1!	1	1	0	0	1	0	0	0	0	6	4	1	3	2
	at.ka.ʔeː.tsa.tɡeo	na	1!	0	1	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.kaː.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	ka.k͡xa.ʔi.tsa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.kə.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	ka.ɢa.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	2	4	3	1	2	2
	ka.c͡ça.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	4	1	2	2
	ka.ka.ʔi.tsa.dɡøo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.p͡tɡeo	na	0	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsɑː.dɡeo	na	0	0	1!	0	0	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡɛːo	na	0	0	1!	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɡɛːo	na	0	0	1!	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tk̠ʰeo	na	0	1!	0	0	1	1	1	1	0	0	0	0	0	0	1	7	4	1	3	2
	adʰ.ka.ʔi.tsa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	1	5	4	1	3	2
	x̠a.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɡiːo	na	1!	0	1	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.i.tsa.tɡeo	na	0	0	0	0	0	0	1!	2	0	0	0	0	0	1	0	5	4	2	3	2
	at.ka.ʔi.tsa.tqeo	na	1!	0	0	0	1	1	1	1	0	0	0	0	0	0	1	7	4	1	3	2
	at.ka.ʔi.tsa.tɣ̠ eo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡɛo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ʈa.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	4!	1	2	2
	ka.ka.ʔi.tsa.dɡeɵ	na	0	0	0	0	0	1!	0	0	0	0	1	1	1	1	1	5	3	1	2	2
	at.ca.ʔi.tsa.tɡeo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	0	6	5	1	3	2
	ka.ka.ʔi.təsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	1	5	3	1	1	1
	ka.ka.k̠i.tsa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	2	1	2	1	5	3	1	2	2
	at.ka.ʔi.tʈ͡ʂa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tʂʰa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɡeəo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	6	4	1	3	2
	aʔt.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	1	0	1	0	0	0	7	4	1	4	2
	kɘː.ka.ʔi.tsa.dɡeo	na	2!	0	1	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	ka.ka.ʔi.tsa.bɡeo	na	0	0	0	0	0	0	0	0	1!	0	0	1	1	1	1	5	2	1	2	2
	at͡s.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	atʰ.ka.ʔi.tsa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.ɖsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	1	5	4	1	3	2
	ka.ka.ʔi.tsa.dʰɡeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tza.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2!	4	3	1	2	2
	ʔa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ət.ka.ʔi.tsa.tɡeo	na	0	0	0	1!	0	0	1	1	0	0	0	0	1	0	0	6	4	1	3	2
	at.ka.ʔi.ʔtsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	7	4	1	4	2
	at.ka.ʔi.tsa.tʔɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	7	4	1	4	2
	at.ka.ʔi.txa.tɡeo	na	1!	0	0	1	0	0	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	ka.ka.ʔi.tsə.dɡeo	na	0	0	0	1!	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔɯ.tsa.dɡeo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.qʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɡeoː	na	0	0	1!	0	0	0	1	1	0	0	1	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tɸa.tɡeo	na	0	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	6	3	1	3	2
	ka.ɡ+͡ɣ+a.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	2	4	3	1	2	2
	ka.ka.ʔi.tχa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	2	1	2	2
	at.kɑ.ʔi.tsa.tɡeo	na	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dəɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	1	5	3	1	1	1
	kɘ.ka.ʔi.tsa.dɡeo	na	2!	0	0	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	at.kɘː.ʔi.tsa.tɡeo	na	0	0	1!	1	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.ts.tɡeo	na	0	0	0	0	0	0	2!	1	0	1	0	0	0	1	0	6	4	1	4	2
	ka.ka.ʔi.tsa.d͡zɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tθa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	cʰa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	4!	1	2	2
	ka.ka.ʔ.tsa.dɡeo	na	0	0	0	0	0	0	1!	0	0	0	0	1	1	2	1	5	3	1	3	2
	k+͡x+a.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.psa.dɡeo	na	0	0	0	0	0	0	0	0	1!	0	0	1	1	1	1	5	2	1	2	2
	qʰa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.k͡xʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	kə.ka.ʔi.tsa.dɡeo	na	2!	0	0	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	ka.ka.ʔi.tsaʔ.dɡeo	na	0	0	0	0	0	0	1!	0	0	0	0	2	1	1	0	6	3	1	3	2
	at.ka.ʔi.tsæː.tɡeo	na	0	0	1!	0	1	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɡɤo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	0	6	4	0	3	2
	ka.x+a.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tɬa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tħa.tɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	at.ka.ʔi.tsa.ətɡeo	na	0	0	0	0	0	0	1!	2	0	0	0	1	0	0	0	6	4	1	3	1
	ka.ka.ʔi.tsa.dɡeø	na	0	0	0	0	1!	1	0	0	0	0	1	1	1	1	1	5	3	0	2	2
	at.ɡʰa.ʔi.tsa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	1	5	4	1	3	2
	at.ka.ʔi.tsa.kɡeo	na	1!	0	0	1	0	0	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	at.kʔa.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	7	4	1	4	3
	ʈa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	4!	1	2	2
	kʔa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	1	6	3	1	3	3
	ka.k̠͡x̠ʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.kəa.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɢʰeo	na	1!	1	0	0	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɣ+eo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsəa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡeɒː	na	0	0	1!	1	0	0	0	0	0	0	1	1	1	1	1	5	3	1	2	2
	a.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	0	1!	0	0	0	0	0	1	0	5	3	1	2	2
