			Ident(high)	Nocoda	Onset	Agree(LABIAL)	*Complex Coda	Align-R	Max	Dep	Ident(voice)	*[+consonantal, -voice]	*[+consonantal, +CORONAL]	Agree(front)	*CC	*Complex Onset	Align-L
	at.ka.ʔi.p͡tsa.tɡeo|na		0	1	1	1	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tkeo|na		0	1	1	0	0	0	0	0	1	7	4	1	3	2	0
	at.ka.ʔi.tsa.tɡiːo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔy.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.k.ʔi.tsa.tɡeo|na		0	2	1	0	0	0	1	0	0	6	4	1	4	2	0
	æt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.x̠a.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tχa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ɡ̠̠͡ɣ̠a.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.k̠i.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
