			Max	Dep	Ident(voice)	Ident(high)	Onset	Agree(LABIAL)	*Complex Onset	*Complex Coda	Align-L	Align-R	Ft-Bin	Parse	Trochaic	Align-Ft-L	Align-Ft-R	Leftmost	Rightmost	Nonfinality-syl-stress	*[+consonantal, -voice]	Nocoda	Agree(voice)	*CC	Iambic	WSP	Nonfinality-syl-footing	All-Ft-Right	All-Ft-Left
	nan.ki.ri.ki.rim.paː.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.kiː.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.ki.rim.pɑː.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	ɴan.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pə.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.ɾim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.iːi|(p.n).n.(s.n).(s.n)		0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.i.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kɰ.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	5	0	3	3	3	4	3	1	1	7	8
	nan.ɡ̠̠͡ɣ̠i.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.kəi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.ɹi|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.reːm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.li.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ʔi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.p͡ɸʰa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jæ|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.i.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	1	3	1	1	7	8
	nan.k͡xi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ɢi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.j|(p.n).n.(s.n).(s.n)		1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	3	2	2	3	2	1	7	8
	nan.ki.ri.k̠͡x̠i.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.k.rim.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	3	3	3	3	1	1	7	8
	nan.ki.ri.ki.rɛm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.ʀim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ti.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rɨːm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.k̠a.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.g͡bi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jiʔ|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	4	3	2	2	3	2	1	7	8
	nan.ki.rəi.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.k̠͡x̠i.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.kɰ.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	5	0	3	3	3	4	3	2	1	7	8
	nan.kiə.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	5	0	3	2	2	3	3	1	1	7	8
	naɴ.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.ba.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.ɨi|(p.n).n.(s.n).(s.n)		0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.kj.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	5	0	3	3	3	4	3	1	1	7	8
	nan.ki.ri.ki.rim.əpa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	1	1	3	1	1	7	8
	nan.kəi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.kɪː.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.ɡ+ʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.x+i.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ci.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɡ̠̠͡ɣ̠i.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	naŋ+.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.k̠͡x̠ʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.rɨː.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	naŋ˗.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.qi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.riə.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.ki.rimə.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	1	1	1	3	1	1	7	8
	nan.ki.ri.k͡xʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rem.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jɨː|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nɤn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jɨ|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.riʔ.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	4	3	2	3	3	2	1	7	8
	nɘːn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nɛn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.keː.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pɘ.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.riɱ.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jəi|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nɘn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɡ̠i.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.g͡bi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.qʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ʙi.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.je|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.riː.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nɑːn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	an.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.reː.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.ki.rim.pa.jɰ|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	5	0	3	3	2	3	3	2	1	7	8
	nan.ki.rɯ.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ɾi.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	naʔn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	4	2	3	3	3	1	1	7	8
	nan.ki.rɘ.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.g͡ba.ji|(p.n).n.(s.n).(s.n)		0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pæː.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.k+͡x+ʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pʌ.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.xi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.riʔm.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	5	0	4	2	3	3	3	1	1	7	8
	nan.ɡ̠ʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ɡi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.ki.riŋ+.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nəan.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pɤ.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.ərim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	man.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kɪ.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.im.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.p.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	3	3	3	3	1	1	7	8
	nan.ki.ri.kɪː.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	ŋ+an.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ɡ+i.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.ʈi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kæ.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.rɪː.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.kɯ.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	ənan.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.qa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ɡ͡ɣi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ɉi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.qʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.rɪ.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.ɻim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ʔri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	3	3	3	1	1	7	8
	nan.ki.ri.ki.rim.pæ.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	ɳan.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.kiʔ.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	4	3	3	3	3	2	1	7	8
	nan.ki.ri.ki.rim.pɘː.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kiʔ.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	4	3	3	3	3	1	1	7	8
	nan.ki.ri.ki.rib.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɡ͡ɣi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.k͡xʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
