UR	ŋan.ki.ɽi.ki.rim.pa.ji	Stress	Max	Dep	Ident(voice)	Ident(high)	Onset	Agree(LABIAL)	*Complex Onset	*Complex Coda	Align-L	Align-R	Ft-Bin	Trochaic	Align-Ft-L	Align-Ft-R	Leftmost	Nonfinality-syl-stress	*[+consonantal, -voice]	NoCoda	Agree(voice)	*CC	Parse	Rightmost	WSP	Nonfinality-syl-footing	Iambic	All-Ft-Right	All-Ft-Left
	an.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	1!	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.riŋ˗.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	1	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋa.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ɡi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.q͡χi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽæ.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.kɪː.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋaʔn.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	3	3	1	5	1	1	3	7	8
	ŋɑːn.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.qi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.k͡pi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽiː.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2!	1	3	7	8
	ŋan.ki.ʔɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	3	3	1	5	1	1	3	7	8
	ŋanʔ.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	2	3	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pæ.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ɡ̠̠͡ɣ̠i.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ɡ̠ʰi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pɨ.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.ɥi	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.kɘ.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.k͡xi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.x+i.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.x+i.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ʔki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	2	3	1	5	1	1	3	7	8
	ŋan.ki.ɽi.kəi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ɡ̠i.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	5	1	1	3	7	8
	ŋan.ki.ɭi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽɨː.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2!	1	3	7	8
	ŋan.ki.ɽi.ki.rim.a.ji	(p.n).n.(s.n).(s.n)	1!	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	5	1	1	3	7	8
	ŋaɴ.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rm.pa.ji	(p.n).n.(s.n).(s.n)	1!	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	2	2	3	1	5	1	1	3	7	8
	ŋɘn.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋʔan.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	3	3	1	5	1	1	3	7	8
	ŋan.t͡ɕi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.k͡pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.kɨː.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɺi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽiə.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋan.ki.ɽi.ki.reːm.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.p.ji	(p.n).n.(s.n).(s.n)	1!	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	3	3	1	5	1	1	3	7	8
	əŋan.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋaən.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rɪm.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ɡ+i.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.jiə	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋan.ki.ɽi.ki.rim.k͡pʰa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rɨːm.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pe.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.kɨ.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.jəi	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋan.ki.ɽi.ki.im.pa.ji	(p.n).n.(s.n).(s.n)	1!	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.jɰ	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	1!	1	0	1	0	0	0	0	0	0	3	3	2	3	1	5	2	1	3	7	8
	ŋan.ki.ɽi.ki.rjm.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	0	0	3	2	2	4	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ɡ+ʰi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.k+͡x+ʰi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.kəi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋʌn.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.cʰi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.kæ.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.ʟi	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.k.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	1	5	2	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pɛ.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ɡi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	5	1	1	3	7	8
	ŋan.k͡xʰi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋaŋ˗.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.kiː.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋad.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋəan.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ɡʰi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.jæ	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	1	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.t͡ɕi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.jy	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	1!	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.ei	(p.n).n.(s.n).(s.n)	0	0	0	1!	1	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋan.ki.ɽi.kɯ.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.kj.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	0	3	3	3	4	1	5	1	1	3	7	8
	ŋan.ki.ɽi.k͡xi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.kɨː.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2!	1	3	7	8
	ŋan.ki.ɽi.ki.rɰm.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	0	0	3	2	2	4	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.lim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽ.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	1	5	2	1	3	7	8
	ŋan.q͡χi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋɤn.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.ɸa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pɘː.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ʔi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋən.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ky.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.jɯ	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	1!	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.ʔrim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	3	3	1	5	1	1	3	7	8
	man.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	1	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.ʔji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	3	3	1	5	1	1	3	7	8
	ŋan.ki.ɽi.xi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.kɪ.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.k+͡x+ʰi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.paː.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pʰa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.jɘ	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	1	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.x̠i.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.əji	(p.n).n.(s.n).(s.n)	0	1!	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.ɨi	(p.n).n.(s.n).(s.n)	0	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋan.ki.ɽy.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.b͡βa.ji	(p.n).n.(s.n).(s.n)	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	5	1	1	3	7	8
	ɲan.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	1!	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.c͡çi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.qi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.jiː	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	1!	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋan.k̠͡x̠ʰi.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɻi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.k+ʰi.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.kɛ.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.kɯ.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rimə.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	5	1	1	3	7	8
	ŋan.ki.əɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋan.ki.ɽɛ.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ʔki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	2	3	1	5	1	1	3	7	8
	ʔŋan.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	1!	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	2	3	3	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pɤ.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.ɹi	(p.n).n.(s.n).(s.n)	0	0	0	1!	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
